id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
276,WTPCPCXORJ09,ORJ,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant DL380 G4,USE634NAB8,Nashville,160.254.14.89
277,WTPCPCXORJ09,ORJ,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant DL380 G4,USE634NAB8,Nashville,160.254.14.89
278,WTPCPLVSI103,7LC,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 0F 82 DB BA 26 57 06-FF BD 33 05 40 41 A1 F2,Nashville,160.254.15.149
279,XSDQ0B22,AVT,Server,N,N,SunOS,s10s_u4wos_12b,5.1,Sun Microsystems sun4u Sun Fire V490,0817AM0219,SOMERSET,10.9.55.106
280,XSDQ0B22,AVT,Server,N,N,SunOS,s10s_u4wos_12b,5.1,Sun Microsystems sun4u Sun Fire V490,0817AM0219,SOMERSET,10.9.55.105
281,WSOMDAVOFJ01,EPI,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 0F 53 8A F8 E3 A1 66-12 A7 EF 70 23 4D CC 55,SOMERSET,10.9.14.76
282,NT_RFARUFUS,WFS,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380,8031FD511135,London UK,10.14.66.201
283,WFP1PCX9PC11,9PC,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G5,USE818N728,Florham Park,167.113.228.84
284,WTPCPWVLIQ01,LIQ,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 32 05 0B C2 81 DD 0A-6C 54 84 85 AD C2 9E D9,Nashville,160.254.6.56
285,WQVSTAPLFX03,LGW,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 22 85 29 D5 52 37 C8-55 00 A3 D6 8C 01 00 3A,London UK,167.113.187.233
